[99761:99761:0324/120924.552513:ERROR:cursor_factory.cc(96)] Not implemented reached in virtual void ui::CursorFactory::ObserveThemeChanges()
[99761:99761:0324/120925.309444:WARNING:account_consistency_mode_manager.cc(72)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[99833:99833:0324/120925.379279:WARNING:sandbox_linux.cc(415)] InitializeSandbox() called with multiple threads in process gpu-process.
[99833:99833:0324/120925.418677:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[99832:99832:0324/120925.641292:WARNING:sandbox_linux.cc(415)] InitializeSandbox() called with multiple threads in process gpu-process.
[99832:99832:0324/120925.668397:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[99761:99761:0324/120927.117969:ERROR:platform_screen.cc(45)] Not implemented reached in virtual bool ui::PlatformScreen::IsScreenSaverActive() const
[99761:99761:0324/120927.118137:ERROR:platform_screen.cc(50)] Not implemented reached in virtual base::TimeDelta ui::PlatformScreen::CalculateIdleTime() const
[99761:99761:0324/120927.123409:WARNING:compose_enabling.cc(64)] Couldn't get country info.
[99761:99761:0324/120944.410259:INFO:CONSOLE(587)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (587)
[99761:99761:0324/120944.433870:INFO:CONSOLE(588)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (588)
[99761:99761:0324/120944.952081:INFO:CONSOLE(659)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (659)
[99761:99761:0324/120944.967494:INFO:CONSOLE(660)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (660)
[99761:99761:0324/120945.275347:INFO:CONSOLE(661)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (661)
[99761:99761:0324/120945.298545:INFO:CONSOLE(674)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (674)
[99761:99761:0324/120945.608023:INFO:CONSOLE(746)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (746)
[99761:99761:0324/120945.624360:INFO:CONSOLE(749)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (749)
[99761:99761:0324/120945.946798:INFO:CONSOLE(796)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (796)
[99761:99761:0324/120945.965864:INFO:CONSOLE(817)] "Uncaught SyntaxError: Invalid or unexpected token", source: file:///home/dhia/browser-fuzzer/Dissertation/logger/run_20250324_064826/round_032/mutations/mutated_0004.html (817)
